 PWM , Force
1100,-4.07
1104,-4.05
1108,-4.02
1112,-3.96
1116,-3.9
1120,-3.87
1124,-3.82
1128,-3.8
1132,-3.75
1136,-3.71
1140,-3.66
1144,-3.59
1148,-3.52
1152,-3.45
1156,-3.4
1160,-3.31
1164,-3.25
1168,-3.2
1172,-3.11
1176,-3.04
1180,-2.99
1184,-2.94
1188,-2.86
1192,-2.82
1196,-2.77
1200,-2.71
1204,-2.66
1208,-2.58
1212,-2.55
1216,-2.51
1220,-2.45
1224,-2.38
1228,-2.35
1232,-2.28
1236,-2.24
1240,-2.2
1244,-2.12
1248,-2.08
1252,-2.02
1256,-1.98
1260,-1.94
1264,-1.86
1268,-1.81
1272,-1.76
1276,-1.7
1280,-1.67
1284,-1.61
1288,-1.56
1292,-1.51
1296,-1.49
1300,-1.44
1304,-1.4
1308,-1.35
1312,-1.3
1316,-1.26
1320,-1.2
1324,-1.16
1328,-1.12
1332,-1.1
1336,-1.05
1340,-1.02
1344,-0.98
1348,-0.94
1352,-0.9
1356,-0.87
1360,-0.82
1364,-0.78
1368,-0.74
1372,-0.72
1376,-0.68
1380,-0.65
1384,-0.62
1388,-0.58
1392,-0.54
1396,-0.51
1400,-0.48
1404,-0.44
1408,-0.42
1412,-0.39
1416,-0.35
1420,-0.32
1424,-0.29
1428,-0.26
1432,-0.24
1436,-0.21
1440,-0.18
1444,-0.15
1448,-0.13
1452,-0.1
1456,-0.09
1460,-0.07
1464,-0.05
1468,-0.04
1472,0
1476,0
1480,0
1484,0
1488,0
1492,0
1496,0
1500,0
1504,0
1508,0
1512,0
1516,0
1520,0
1524,0
1528,0
1532,0.04
1536,0.05
1540,0.08
1544,0.1
1548,0.13
1552,0.15
1556,0.18
1560,0.22
1564,0.25
1568,0.29
1572,0.32
1576,0.36
1580,0.4
1584,0.44
1588,0.47
1592,0.51
1596,0.56
1600,0.6
1604,0.64
1608,0.68
1612,0.72
1616,0.78
1620,0.82
1624,0.87
1628,0.91
1632,0.95
1636,0.99
1640,1.03
1644,1.1
1648,1.14
1652,1.18
1656,1.24
1660,1.28
1664,1.33
1668,1.39
1672,1.44
1676,1.48
1680,1.54
1684,1.59
1688,1.65
1692,1.69
1696,1.76
1700,1.82
1704,1.88
1708,1.93
1712,1.99
1716,2.05
1720,2.12
1724,2.18
1728,2.22
1732,2.28
1736,2.38
1740,2.43
1744,2.52
1748,2.58
1752,2.65
1756,2.73
1760,2.76
1764,2.84
1768,2.89
1772,2.98
1776,3.05
1780,3.11
1784,3.17
1788,3.22
1792,3.3
1796,3.37
1800,3.42
1804,3.51
1808,3.61
1812,3.68
1816,3.74
1820,3.82
1824,3.89
1828,3.96
1832,4.06
1836,4.15
1840,4.25
1844,4.3
1848,4.38
1852,4.51
1856,4.53
1860,4.65
1864,4.71
1868,4.79
1872,4.84
1876,4.93
1880,5.01
1884,5.08
1888,5.14
1892,5.18
1896,5.22
1900,5.25